,County,ID,Name,GraduationPercent,Graduates,Funds,PerStudent
0,Alameda,0110017,Alameda County Office of Education,23.6%,89,"$45,846,580",N/A
0,Alameda,0161119,Alameda Unified,76.2%,780,"$111,647,221","$13,654"
0,Alameda,0161127,Albany City Unified,81.7%,273,"$46,422,662","$13,519"
0,Alameda,0161143,Berkeley Unified,68.9%,732,"$156,776,943","$17,756"
0,Alameda,0131617,California School for the Deaf-Fremont (State Special Schl),61.8%,34,,
0,Alameda,0161150,Castro Valley Unified,75.9%,752,"$96,921,897","$12,118"
0,Alameda,0175093,Dublin Unified,82.4%,569,"$112,036,250","$11,304"
0,Alameda,0161168,Emery Unified,64.9%,37,"$11,932,449","$19,519"
0,Alameda,0161176,Fremont Unified,79.9%,"2,468","$367,360,459","$11,519"
0,Alameda,0161192,Hayward Unified,55.0%,"1,150","$258,575,685","$14,743"
0,Alameda,0161200,Livermore Valley Joint Unified,73.7%,"1,058","$146,968,774","$12,065"
0,Alameda,0161242,New Haven Unified,75.3%,926,"$126,044,254","$13,061"
0,Alameda,0161234,Newark Unified,65.8%,427,"$63,351,035","$12,575"
0,Alameda,0161259,Oakland Unified,58.5%,"2,039","$562,832,639","$17,862"
0,Alameda,0161275,Piedmont City Unified,82.9%,205,"$39,755,668","$17,104"
0,Alameda,0175101,Pleasanton Unified,85.2%,"1,212","$155,015,767","$12,056"
0,Alameda,0161291,San Leandro Unified,65.0%,709,"$100,131,784","$13,351"
0,Alameda,0161309,San Lorenzo Unified,60.6%,809,"$123,521,629","$13,789"
0,Amador,0310033,Amador County Office of Education,0.0%,13,"$11,988,874",N/A
0,Amador,0373981,Amador County Unified,49.2%,311,"$38,786,120","$11,764"
0,Butte,0461408,Biggs Unified,71.1%,45,"$7,499,769","$13,761"
0,Butte,0410041,Butte County Office of Education,*,*,"$70,989,139",N/A
0,Butte,0461424,Chico Unified,72.0%,929,"$133,496,366","$12,985"
0,Butte,0461432,Durham Unified,87.9%,58,"$10,439,668","$11,733"
0,Butte,0461440,Feather Falls Union Elementary,68.0%,"1,863","$314,772","$42,066"
0,Butte,0461457,Golden Feather Union Elementary,68.0%,"1,863","$1,674,965","$57,851"
0,Butte,0475507,Gridley Unified,74.4%,121,"$22,288,594","$13,168"
0,Butte,0461515,Oroville Union High,60.6%,459,"$27,216,934","$15,651"
0,Butte,0461531,Paradise Unified,60.2%,241,"$38,338,727","$14,208"
0,Calaveras,0561556,Bret Harte Union High,68.2%,157,"$11,399,554","$20,310"
0,Calaveras,0510058,Calaveras County Office of Education,*,*,"$11,476,130",N/A
0,Calaveras,0561564,Calaveras Unified,61.1%,221,"$30,540,433","$12,238"
0,Colusa,0610066,Colusa County Office of Education,*,*,"$10,116,134",N/A
0,Colusa,0661598,Colusa Unified,68.4%,95,"$16,055,610","$12,636"
0,Colusa,0661606,Maxwell Unified,85.0%,20,"$4,145,185","$14,126"
0,Colusa,0661614,Pierce Joint Unified,55.7%,106,"$16,126,112","$12,838"
0,Colusa,0661622,Williams Unified,49.5%,95,"$16,071,263","$14,751"
0,Contra Costa,0761630,Acalanes Union High,83.4%,"1,388","$75,777,414","$14,863"
