sex,orientation,pets,ethnicity,age,education,drugs,height,income,job,last_online,location,offspring,religion,smokes,body_type,sign,speaks,status,diet,drinks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
m,straight,likes dogs and likes cats,white,31-35,graduated from masters program,never,72,-1,science / tech / engineering,2012-06-27-21-41,"san francisco, california",doesn&rsquo;t have kids,catholicism but not too serious about it,no,athletic,pisces and it&rsquo;s fun to think about,english (fluently),single,mostly anything,socially,"i relocated to san francisco half a year ago. that was an awesome
 few months that let me explore the diverse parts of the city, find
 a gorgeous victorian house to live in, meet my awesome roommates
 who became my best friends, find my first american emotional
 soul-mates, ride hot european wheels on the hilly streets of san
 francisco and the winding road to stinson beach, swim in the
 freezing waters of the bay, walk the ocean beach at full moon on
 warm, starry nights, experience the great outdoors hiking and
 cross-country skiing, fall in love with the local diversity and
 openness, abundance of cuisine, and embracement of active
 lifestyle.<br />
 <br />
 this is the most awesome city to live in, and one where you can
 loose yourself in a continuous chase of newelties and adventure.
 and the people around will only support you in that amazing run for
 new experiences. having been absorbing this atmosphere for the past
 six months, i'm finally revelling in the clamness that i find
 inside me once again. like you, maybe, and so many bright people
 here, i've come to embrace this city as home. and i'm beginning to
 stabilize and live a well paced life, with time for personal and
 professional growth, fun with close friends, sports that keep the
 balance of my body and mind, and with the time to ponder and
 reflect on my way through life.","i left my comfort zone far behind in europe, and enjoyed a few
 months of a fast-paced adventure here. at the same time i was doing
 my best to settle down and it seems it worked well ;-)<br />
 <br />
 being in the central game-development technology hub, i'm taking
 advantage of the situation and am focusing a bit more on work &amp;
 career too.","listening, connecting emotionally, analyzing tough engineering
 tasks, making people laugh, dancing boogie woogie, horseback
 riding, yoga, swimming, playing chess, and guitar hero, driving
 dynamically, driving gently, taking good photos, and listening to
 my intuition.","cheerful, open, curious, direct, active, sporty, energetic.","the art of happiness by dalai lama, how finding your passion
 changes everything, art of game design,<br />
 <br />
 scent of a woman, lost in translation, beginners, i am love,
 closer, a good year, midnight in paris,<br />
 <br />
 marcus miller, 3-11 porter, ludovico einaudi, vivaldi, handel, 30
 seconds to mars, william elliot whitmore, hans zimmer, dire
 straits, bruce springsteen,<br />
 <br />
 indian, thai, mexican, sushi, greek, spanish","juicy fruit, water, swimming workouts, yoga practice, my dearest
 friends, and a good hifi music system at home.",my passions and searching for new ones.,"having dinner and a night out with my close friends; or am driving
 out of town with them for the weekend.","i'm pretty direct, so you can ask and i'll tell you.",you wanna meet up.
m,straight,likes dogs and likes cats,white,26-30,graduated from college/university,never,69,-1,executive / management,2012-06-28-15-22,"san francisco, california","doesn&rsquo;t have kids, but might want them",agnosticism and somewhat serious about it,no,fit,sagittarius but it doesn&rsquo;t matter,"english, spanish (poorly)",single,mostly anything,socially,"i tend to think the same way a comedian does about nearly
 everything and i laugh more than any other particular activity.
 adventures are a key ingredient to my happiness, whether it be a
 new restaurant, hike, or sport i'm usually forging ahead toward
 something new. you coming?","i'm a supply and demand manager for a sustainable soap manufacturer
 here in sf. the typical corporation sort of sucks the life out of
 my being, so working for companies with a positive mission is key
 for me. aside from operations work, i am currently learning to cook
 (better), renting a cabin in tahoe for the season to ensure i take
 snowboarding more seriously, refreshing my spanish for travel, and
 taking wood-working classes.","making predictions, planning anything (i'm pretty thorough when
 motivated), writing, making people laugh (yes, often at me), and
 overeating/drinking followed by an appropriately guilty run through
 the park.",that i'm smiling. pretty much at all times.,"a confederacy of dunces and infinite jest are two of my all time
 favorite books. in terms of movies i tend to love wes anderson
 flicks, fear &amp; loathing, lebowski, you know, the usual. i'm a
 guy! for tv shows i am big on most hbo series, walking dead, and
 any solid comedies not on basic cable (yeah, no basic cable shows
 of any kind really).","1) sf restaurants, could they be any better?<br />
 2) friends with beer<br />
 3) going places i've never been<br />
 4) board sports<br />
 5) a bicycle<br />
 6) smartass comedy","how to build an empire and a legacy. so far the list is to obtain
 two atv's, two jet skis, and a giant trampoline to keep at my beach
 house. there will also be a baseball diamond. we will surf nearly
 every day and survive on a diet primarily consisting of tacos and
 beer. if you want to do something like this please contact me.","having beers with any number of friends and pretending that i just
 worked the last day of my life. aaaah, weekends.","when i was a kid i thought steven segal was really cool. please
 don't judge me.","you're a positive and creative personality looking for some new
 adventures."
m,straight,likes dogs and likes cats,white,26-30,graduated from college/university,sometimes,67,40000,artistic / musical / writer,2012-05-28-15-18,"san francisco, california",doesn&rsquo;t want kids,agnosticism and very serious about it,no,fit,libra,english (fluently),single,mostly anything,socially,"my names josh, and i create art for a living. i work as a
 conceptual artist at a north beach studio. in my spare time i like
 to play music, adventure around the city, check out music, or just
 hang out @ home. i prefer meeting people in real life, but i'm not
 opposed to meeting new friends from the internets..<br />
 <br />
 hit me up if you'd like to know more about me :)",living it,everything,i honestly couldn't say....,"-books: anything joseph campbell - osho - terry brooks - ancient
 greek mythology/philosophy- ""the tao of physics""(currently) -
 c.bukowski, foucault, and other post modernists - william s.
 burroughs - the futurist manifesto ( no seriously - i read it every
 now and then) much more.....<br />
 <br />
 tv: kill your tv<br />
 <br />
 music: - 90's techno - darkwave - metal - bluegrass - punk rock -
 ambient - rock n roll - dubstep/glitchstep - classic
 alternative<br />
 <br />
 pretty much everything....<br />
 <br />
 food: things that don't make me vomit ;) or that are not poisonous",invalid question,the world,out.,no,you're curious.
f,straight,likes dogs,white,31-35,graduated from masters program,sometimes,66,-1,executive / management,2012-06-29-06-59,"san francisco, california","doesn&rsquo;t have kids, but might want them",atheism,no,curvy,pisces,english (fluently),single,anything,socially,"one day i will mod r/hotchickswithspreadsheets.<br />
 <br />
 i &lt;3 data and jokes about fart jokes. my hobbies include
 wikipedia and chortling. i write raps that no one will hear. i do
 not have a booty like minaj.","presently, holyshitwhatamidoinghere and the spacetime continuum.
 professionally, i count shoes.","algebra, alliteration, big spoon and little spoon.","i look a lot like that chick you banged your freshman year in
 college. i am a honda civic.","- wikipedia<br />
 - yes<br />
 - yes<br />
 - yes<br />
 - yes","civility, hope, basic arithmetic, any of the vital organs, toilet
 paper, giggling.","macros. also, puppies. i worry about the future, our
 responsibility, and will embrace singularity when it happens. i get
 bogged down in details. bagels.","home, high, and doing the dishes.","i'm terrible at small talk which makes for awkward everything. high
 five!",you find challenge rewarding.
f,straight,likes dogs,asian,41-45,graduated from masters program,never,64,-1,executive / management,2012-06-24-20-20,"menlo park, california",doesn&rsquo;t have kids,agnosticism and laughing about it,no,fit,aries but it doesn&rsquo;t matter,english (fluently),single,mostly anything,socially,"i'm a glass-half-full kind of girl, am emotionally wired to be very
 logical, and abhor drama. i'm eternally curious and work in
 left-brain things, but enjoy right-brain activities much more ....
 drawing or creating things. i over-analyze everything, so almost
 never regret my actions. i always have a point of view, but only
 share with those who can agree to disagree. i love food... its
 preparation, presentation, taste, culture, history. i love wind,
 snow, and water whipping across my face. i watch cnn and read the
 ny times more than the local news. i love thought-provoking forms
 of art and expression.<br />
 <br />
 i prefer to be direct, the east coast influence i suppose. you can
 ask me anything and i will give you a direct answer. i don't play
 games, except the occasional board or video type. but due to lots
 of corporate feedback, early adulthood on capitol hill, and friends
 worldwide, i've learned to be much more circumspect about how my
 words/actions will be perceived. although when my team is being
 attacked repeatedly, all bets are off :-p. controlling my temper
 and extreme diplomacy are learned skills, so i remain constantly
 vigilant.<br />
 <br />
 i am a mix of cultures, having been born into one, raised in
 another, and sought others in adulthood. i'm the older of 2 and
 have 3 nieces, whom i adore. i work to live well. i exercise, so
 that i can indulge. i need quiet time to recharge, but have a large
 circle of friends/relatives worldwide with whom i've kept in touch
 for decades. i try to live like the song, ""i hope you dance"" and
 the poem instantes by borges.","i need to continually learn or else i get bored. i try to visit a
 new place every year. i like to try new experiences. skydiving is
 next. i tend to order those things i have never eaten/drunk before.
 i try to keep all my relationships in good order, so that i have
 nothing to confess or say to someone on my death bed that i
 wouldn't say now. i have been paring down my friendships to spend
 time with those who really matter to me. i am wondering when i am
 going to get off my bum and build this sculpture i have designed.","- making people feel comfortable<br />
 - finding the optimistic viewpoint when providing advice<br />
 - over-analyzing",- easy smile &amp; dimples,"- anything i can sing to<br />
 - love dancing to 80s, 90s, current pop/rock/alternative music,
 salsa, the beatles ....<br />
 - independent/foreign films, operas, thought-provoking sci fi,
 espionage, period films, ballet, theatre<br />
 - love a wide variety of cuisines, but am not a fan of rice and
 beans or melted cheese unless it is in a fondue ...<br />
 - j.k. rowlings, gore vidal, neal stephenson, tom clancy, robert
 ludlum, sheri tepper, sir arthur conan doyle, steven d levitt, jane
 austen<br />
 - anything related to joss whedon, audrey hepburn, alfred
 hitchcock, david lynch, woody allen, johnny depp, kate winslet,
 diane keaton, woody allen, kate beckinsale, hugh grant, colin
 firth, monty python, kevin kline, katherine hepburn, emily blunt,
 catherine deneuve, gerard depardieu, helen bonham-carter, anthony
 hopkins, juliette binoche, natalie portman, matt bomer","- love of family and friends<br />
 - a large variety of great food/fresh fruit<br />
 - intellectual stimulation<br />
 - the means with which to use my passport extensively<br />
 - phone/internet<br />
 - the prospect of romantic love","- how to better design things, how to do things faster<br />
 - how to quash an over-active mind and achieve inner peace<br />
 - what i am going to be when i grow up<br />
 - how do i best love and nurture my nieces<br />
 - how to enjoy the now and not dwell on the what-could-be","not sure if there is a typical friday ... out with friends or
 attending a performance or winding down from the work week at home
 or a meetup to see the newest indie film","i watch animated films without my nieces.<br />
 <br />
 i'm pretty open, so you just have to ask :).","any of my profile appeals to you and you:<br />
 - don't smoke (except the occasional cigar or something else) and
 will be ok accommodating my allergy to cats<br />
 - smile when you are happy<br />
 - bonus, if you are a foodie, who loves to explore new
 experiences/travel and continually learn<br />
 <br />
 i find the path to self-awareness intriguing, therefore the number
 of okc questions i answered (it only takes 5 sec to blow through 1
 question ... while waiting for tea, you can answer a lot... or you
 can conclude i'm a nutjob, as my friend suggested when i told him
 ... hehe).<br />
 <br />
 i almost always respond one way or another, but i may not always do
 this in a timely manner."
f,straight,likes dogs and likes cats,"black, native american, hispanic / latin",18-25,Still in college,never,66,20000,other,2012-06-28-18-40,"san francisco, california",has a kid,other,when drinking,curvy,capricorn and it&rsquo;s fun to think about,english (fluently),single,mostly anything,rarely,"hey<br />
 i'm angel, here's a little about myself. i am a born an raised
 californian, whoo. been in the bay area for a while now. i'm a bit
 of a tomboy. i love video games, football (go niners), hiking, that
 kinda stuff. got to love the earth, so i try to stay conscious
 about how i effect the world and other people in it. i'm into
 politics too , although i dont know a bunch about them but i try to
 learn more. a proud obama supporter and democrat, of course.<br />
 <br />
 i'm a fan of nature, music, fishing, bicycling, movies, art, good
 books, kid stuff and finding new things to get into. i'm goin to
 school to become a chef, i love everything about food so it was a
 given for me. i'm not what you say ""religous"" so i'm into men with
 a mind for discovering other things. i've found that i need a guy
 that is spiritual or its not really a good match.<br />
 <br />
 i'm working on goals right now, just moved to san francisco and
 getting into school. i'm a happy person, down to earth and have
 great sense of humor, just trying to find a guy that can handle me.
 i'm an intellectual and very open minded. i'm into guys who have
 sense, home training and knows how to treat a lady. i like men that
 like to look nice and has a mind. happy hunting ;-)","discovering and exploring! finding myself.<br />
 take care of business and working to get what i need and want out
 of life.","art, math, learnin things fast, puzzles and brain teasers, picking
 out the perfect gift, most games i play, making things by hand, and
 being efficient (when i want to).","i'd say my hair and my eyes. i would say my smile but i'm not
 sure.<br />
 i like my lips a lot tho.","favorite books are: my life as a teenage fairy, sex love and
 dharma, anne rice's vampire books, steven king's dark tower series,
 lord of the rings, siddhartha, and the odyssey.<br />
 favorite movies are: hello dolly, most disney movies, tomstone,
 nightmare before christmas, the crow, pirates of the caribbian,
 spirited away, and les miserables.<br />
 i love shows like: house, how i met your mother, the office, dr. oz
 and family guy you know good humor things.<br />
 i love all kinds of music from classis to hip hop and alot in
 between. i love all food, but mexican is my favorite. i could eat
 it all da time. i also love pastries and desserts. yummm","uumm, well music thats one, i love food but that might be a given.
 a good disney movie that's two. uumm humm, video games, nice warm
 showers and other people. maybe art too.","everything; the world, what i can do for fun, what's goin on with
 the people i love, the future, how i can stay in the present and
 what things really do matter. :j","home happy to have some quite and a good movie or out on the town
 with my girls, dancing.","sometimes i like to sit in the shower.. :)<br />
 that's it.<br />
 you'll have to ask me for more.","you are chill, nice, down to earth, educated, caring, cultured,
 exiting, pleasant, attractive..ect.<br />
 you think we'd be good friends? hit me. :)"
m,straight,dislikes dogs and has cats,white,46 and above,graduated from two-year college,never,75,-1,unemployed,2012-06-09-23-55,"vallejo, california",has kids,christianity and somewhat serious about it,no,fit,gemini but it doesn&rsquo;t matter,"english (fluently), tagalog (poorly)",single,mostly anything,socially,"i am single girls!!! come get me!! hahaha<br />
 <br />
 i am a tall white guy who is looking for a younger woman. ask me
 anything if you would like to know more :)","i try to avoid watching tv, and eat as healthy as i can, this can
 be a challenge when you are at the drive through...","fixing broken things and eating chocolate, and reaching the milk
 that's way in the back on the top shelf.",i am tall.,"i love comedies, in-depth documentaries, and action movies. i am
 not fond of any particular genre of music, i like it all, as long
 as it sounds good. as for food, anything sweet, or cheesy sounds
 good. i also love to eat fruit!","physically:my polo deodorant, my toothbrush, dental floss, desenex
 foot powder, allegra (during allergy season)<br />
 emotionally:love, friends, family, jesus, my kids, my kitty cat.",chocolate...,"watching a dvd with friends.<br />
 ok, so here's my attempt at standup: (this is actually a true
 story)<br />
 so i meet this asian girl on okcupid<br />
 we are hitting it off fine<br />
 things are really looking good<br />
 she asks me:""so are you into asian girls""<br />
 my reply ""sort of"" (i am actually into any woman who is not a white
 american woman)<br />
 her reply ""well i don't date guys who are into asian girls""<br />
 wtf!?!?!?!?!?!?<br />
 she is like: ""too late""<br />
 it all went downhill from there...<br />
 its too bad too 'cuz she seems like the perfect woman...","emotionally: i'm sort of like a girl. i cry during movies, i always
 end up at the women's table at parties, i could care less about
 sports, i love to do the laundry, i am nurturing...","-you are younger than me and you think i am sexy hahahaha.<br />
 -you are not a white american woman<br />
 -you like tall guys<br />
 -you smell nice<br />
 -you are honest, and also sweet<br />
 -you are not excessively tattooed and pierced (if your piercings
 set off the metal detector at the airport, or if you look like you
 are wearing a shirt when you are naked should give you a clue that
 i am not interested)"
m,straight,likes dogs,"hispanic / latin, white",18-25,Still in college,often,70,1000000,Medical Degree,2012-06-29-17-01,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",atheism and laughing about it,sometimes,thin,sagittarius and it&rsquo;s fun to think about,english,single,strictly anything,socially,"ill-matic, drastically fantastic, orgasmic, incomparable to
 ""plastic"", seen as drastic and spastic, yet my prophetic facts are
 prophylactic.<br />
 <br />
 i don't, i do.",enjoying it.,"producing music, entertaining, struggling with maturity, and
 isolating myself.","hair or clothes, or that i'm longboarding.","the art of war, fear and loathing in las vegas<br />
 waking life, a scanner darkly, rampage<br />
 workaholics, the daily show, south park<br />
 suicide commando, sleepytime gorilla museum<br />
 italian, japanese",i don't need a god damn thing.,everything. also your mom.,doing the most.,i'm probably down for a lot more than you realize.,you feel so inclined.
m,straight,has cats,white,46 and above,college/university,never,73,80000,transportation,2012-06-29-21-54,"benicia, california",doesn&rsquo;t want kids,other,no,average,libra,english,single,mostly anything,often,"i am a good guy looking to find that someone special.<br />
 i think that the initial meeting chemistry is important.<br />
 lets go to the wine country, explore a new area, try a new
 restaurant and enjoy a nice glass of wine together.<br />
 we can email for weeks, but if there is no spark upon
 meeting.......<br />
 at the very least i know that i will make a few new friends
 here.<br />
 <br />
 i am easy fun, easy going, spontaneous, and honest",working hard and learning about myself.,cooking on the grill!,my smile,"i don't read a lot, mostly mags and trade journals<br />
 i really like action, drama, comedy and mysteries like the 6th
 sense<br />
 i don't care for blood and guts<br />
 i like most foods, esp. italian, seafood and sushi.<br />
 my favorite show right now is dexter!",this is good first date stuff...,not enough room here,"unwinding from the week with a glass of wine &amp; meeting friends,
 or watching a movie.","if you ask, i will answer!","you have a great smile!!!<br />
 are not too uptight.<br />
 enjoy trying new things and seeing new places.<br />
 enjoy wine and sunsets."
f,gay,likes dogs and likes cats,"hispanic / latin, white",26-30,Still in college,never,63,20000,sales / marketing / biz dev,2012-06-23-23-10,"berkeley, california","doesn&rsquo;t have kids, but might want them",catholicism and laughing about it,no,curvy,gemini and it&rsquo;s fun to think about,english,single,mostly anything,socially,"i am strong woman who loves to dance (even though i'm not the
 greatest at it), loves her family, and loves life. i am a little
 bit of a dreamer, but i know how to get serious when it counts to
 get things done. i teach youth, work at a solar company, and attend
 uc berkeley. i love working with my community whether if its in the
 bay area or on campus. my long term goal is to get involved with
 community youth development programs and have as many experiences
 as i can. life is too short to not enjoy it.","so, i work part time in sales while attending uc berkeley trying to
 finish up and get my bs. i am also working on a film on qwocmap and
 hope to finish a film for the queer women of color film festival. i
 am trying to find a second job so it has taken me away from a lot
 of my campus interests when it comes to my social life.","i am really good at boxing so if any luck lady out there wants a
 free boxing lesson, hit me up. i also teach youth and women's
 boxing programs in hayward, so i'm pretty good at facilitating.","my hair . . . oddly enough . . . my friends jokingly pick me out
 from a crowd and call me a chola since my hair is moused all the
 time and i guess it gives off that kind of look. lmao by the way, i
 am not chola. hahahahaha","remedios: stories of eatrh and iron from the history from the
 history of purtorriquenas byarora levins morales<br />
 <br />
 chicana lesbians by carla trujillo<br />
 loving in the war years by cherrie moraga<br />
 <br />
 ""in the time of the butterflies""<br />
 blood in, blood out<br />
 <br />
 tejano, mejicano, banda, salsa, bachata, r&amp;b, hip hop, house
 music","my sorority sisters (lmao don't hate!)<br />
 car<br />
 my journal<br />
 cell phone (i know its sad, but hey! i got to sustain my
 hustle)<br />
 tumblr account (xicana11)<br />
 my leather back pack i had for the last ten years . . . i'm
 sentimental like that . . .","about my film. its kind of taken up a huge prtion of my life. i
 also think a lot about my family and wondering how they are doing.","i ususally just kick it with my friends and have some wine or go to
 a club with whoever is down.","i am really awkward when it comes to the club scene, but i am
 trooper so i'll roll out with my friends or sorority sisters either
 way and do my best to shake a tail feather.","just message me if you feel like it. its chill however you want to
 do it."
