county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
del norte,12/8/20,3,0,3,51,1,0,2
glenn,12/8/20,5,0,5,47,0,0,0
yolo,12/8/20,26,0,26,96,11,0,2
tuolumne,12/8/20,6,0,6,84,0,0,2
mendocino,12/8/20,7,0,7,78,2,0,4
yuba,12/8/20,45,0,45,261,11,0,3
modoc,12/8/20,0,0,0,12,0,0,0
monterey,12/8/20,112,1,113,717,19,0,16
contra costa,12/8/20,143,16,159,1562,39,3,34
san benito,12/8/20,7,0,7,25,2,0,0
sutter,12/8/20,0,0,0,14,0,0,0
san bernardino,12/8/20,1053,87,1140,4010,217,6,82
san luis obispo,12/8/20,15,0,15,460,6,0,20
san mateo,12/8/20,87,10,97,754,19,1,35
solano,12/8/20,74,14,88,591,18,0,17
san diego,12/8/20,874,59,933,6836,229,6,195
placer,12/8/20,158,17,175,768,23,2,20
lake,12/8/20,4,0,4,77,2,0,1
ventura,12/8/20,131,4,135,1206,46,1,31
orange,12/8/20,974,80,1054,6023,239,14,111
san francisco,12/8/20,115,5,120,1877,31,0,53
kern,12/8/20,225,4,229,1134,54,0,20
nevada,12/8/20,14,0,14,126,5,0,4
fresno,12/8/20,454,38,492,1663,74,3,7
humboldt,12/8/20,6,1,7,269,1,0,6
napa,12/8/20,15,1,16,200,2,0,22
marin,12/8/20,20,4,24,336,7,0,13
sonoma,12/8/20,51,9,60,580,9,2,10
los angeles,12/8/20,3433,337,3770,20119,793,54,462
santa clara,12/8/20,392,21,413,3074,92,4,38
san joaquin,12/8/20,218,9,227,1019,52,3,5
tulare,12/8/20,128,13,141,638,14,2,15
sacramento,12/8/20,398,24,422,2584,85,1,67
inyo,12/8/20,3,0,3,29,1,0,3
tehama,12/8/20,17,0,17,59,1,0,2
merced,12/8/20,37,0,37,271,6,0,9
shasta,12/8/20,44,2,46,561,12,0,13
kings,12/8/20,80,2,82,127,8,1,0
santa barbara,12/8/20,64,3,67,688,13,0,56
stanislaus,12/8/20,247,13,260,1290,52,4,14
mono,12/8/20,0,0,0,17,0,0,2
imperial,12/8/20,121,1,122,265,28,0,3
trinity,12/8/20,0,0,0,25,0,0,0
riverside,12/8/20,768,127,895,3535,172,9,49
alameda,12/8/20,242,38,280,2541,63,5,87
lassen,12/8/20,5,0,5,25,0,0,0
madera,12/8/20,27,10,37,275,8,0,1
plumas,12/8/20,1,0,1,35,0,0,0
calaveras,12/8/20,1,0,1,33,1,0,5
santa cruz,12/8/20,48,0,48,372,10,0,4
mariposa,12/8/20,3,0,3,19,0,0,0
siskiyou,12/8/20,13,0,13,56,3,0,8
amador,12/8/20,7,0,7,51,3,0,2
colusa,12/8/20,4,0,4,48,0,0,0
el dorado,12/8/20,24,0,24,190,13,0,4
butte,12/8/20,63,3,66,451,9,0,7
