economy,male_school,female_school,male_survival,female_survival
Afghanistan,9.544137001,6.795722485,0.931880832,0.938916445
Argentina,12.70367813,13.06125259,0.988674402,0.990525246
Austria,13.39042759,13.46689415,0.996079981,0.996770203
Bahrain,13.08257389,13.27036572,0.99248904,0.99298358
Belgium,13.4810133,13.56679726,0.995824814,0.996668279
Canada,13.7338047,13.7095871,0.99455905,0.995293617
China,12.91086006,13.0906477,0.990208507,0.991372585
Chile,12.95125008,13.05471802,0.99196732,0.993211985
Colombia,12.44435692,12.70421314,0.983747721,0.986992121
Czech Republic,13.52652264,13.6034832,0.996316731,0.997096837
Denmark,13.32220936,13.47161579,0.995373785,0.99612993
Ecuador,12.83367634,13.2197113,0.983947933,0.987168789
"Egypt, Arab Rep.",11.34489918,11.50000572,0.976794302,0.979360223
Ethiopia,8.090050697,7.516855717,0.93631506,0.948622942
Finland,13.74859524,13.74469662,0.997978151,0.998333395
France,13.78246212,13.8239584,0.995527685,0.996333301
Germany,13.31760693,13.34453487,0.995952725,0.99658531
Greece,13.29149151,13.28767872,0.995079398,0.99577564
Ghana,11.79075336,11.91578197,0.945319474,0.954931557
Haiti,11.32899952,11.44699955,0.927714467,0.939173818
Honduras,9.365544319,9.822359085,0.979846656,0.983900845
Hungary,12.95178223,12.96164417,0.995109081,0.995840311
India,10.76586437,10.93618393,0.96224016,0.960353434
"Iran, Islamic Rep.",11.88597202,11.81238651,0.984428704,0.985745013
Ireland,13.88188362,13.92032051,0.995932162,0.996619761
Iraq,6.729045391,7.038986206,0.969775915,0.975159585
Israel,13.62586212,13.90762043,0.995945156,0.996483505
Italy,13.18744278,13.31961727,0.996591091,0.997105956
Kenya,11.81775093,11.30184937,0.953303814,0.960915327
Kuwait,11.84932041,12.40283394,0.991256356,0.992636442
Mexico,12.67475605,12.97874069,0.98531723,0.987900376
Mongolia,13.18915939,13.25112915,0.979902625,0.98631537
Pakistan,10.01042557,8.687153816,0.92390132,0.933279634
Norway,13.66986561,13.67211056,0.997144997,0.997667313
Peru,13.07205391,12.89012051,0.983692765,0.986622691
Poland,13.36937904,13.45503712,0.995011687,0.995873213
Portugal,13.97013855,13.82900047,0.995932877,0.996676445
Qatar,12.51066113,12.7883606,0.992319047,0.993384063
Russian Federation,13.693964,13.68534756,0.991665125,0.993247926
Saudi Arabia,12.29876518,12.26758575,0.992184341,0.992914498
Spain,12.86437893,13.08606815,0.996623695,0.997154593
South Africa,10.14983749,10.11397743,0.961805284,0.967844427
Switzerland,13.31040955,13.21845913,0.995450318,0.996162951
United Kingdom,13.85888004,13.85765934,0.99526751,0.996090055
United Arab Emirates,13.72001171,13.1702652,0.991520584,0.993151426
United States,12.84923458,12.93639374,0.992772698,0.993977547
Turkey,12.13585091,11.99552917,0.988101959,0.98945576
Vietnam,12.51782799,13.12925434,0.975366235,0.982526422
West Bank and Gaza,11.61771202,12.30873013,0.977473795,0.981059492
Cambodia,9.336877823,9.635119438,0.967502296,0.974326909
