Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,3,18,Oct 28 - Nov 9,11.2,10.8,11.7,10.8 - 11.7,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,3,18,Oct 28 - Nov 9,7.8,5.5,10.8,5.5 - 10.8,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,3,18,Oct 28 - Nov 9,11.3,8.8,14.3,8.8 - 14.3,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,3,18,Oct 28 - Nov 9,10.8,8.3,13.8,8.3 - 13.8,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,3,18,Oct 28 - Nov 9,12.1,8.6,16.3,8.6 - 16.3,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,3,18,Oct 28 - Nov 9,14.1,11.9,16.4,11.9 - 16.4,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,3,18,Oct 28 - Nov 9,15.4,12.2,19.1,12.2 - 19.1,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,3,18,Oct 28 - Nov 9,8.6,6.3,11.3,6.3 - 11.3,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,3,18,Oct 28 - Nov 9,14.3,8.7,21.7,8.7 - 21.7,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,3,18,Oct 28 - Nov 9,14.1,9.7,19.5,9.7 - 19.5,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,3,18,Oct 28 - Nov 9,8.9,6.7,11.5,6.7 - 11.5,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,3,18,Oct 28 - Nov 9,11.7,8.1,16.3,8.1 - 16.3,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,3,18,Oct 28 - Nov 9,6.7,4.7,9.3,4.7 - 9.3,6.7-9.2,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,3,18,Oct 28 - Nov 9,10.6,8.2,13.3,8.2 - 13.3,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,3,18,Oct 28 - Nov 9,10.1,8,12.5,8.0 - 12.5,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,3,18,Oct 28 - Nov 9,12.7,10,15.8,10.0 - 15.8,12.7-16.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,3,18,Oct 28 - Nov 9,12,9.2,15.2,9.2 - 15.2,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,3,18,Oct 28 - Nov 9,12.5,9.7,15.8,9.7 - 15.8,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,3,18,Oct 28 - Nov 9,12.6,8.4,17.8,8.4 - 17.8,11.1-12.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,3,18,Oct 28 - Nov 9,9.4,6.8,12.7,6.8 - 12.7,9.3-11.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,3,18,Oct 28 - Nov 9,11.6,8.1,16,8.1 - 16.0,11.1-12.6,
