title,year_release,subject,type_of_subject,subject_race,person_of_color,subject_sex
21,2008,Jeff Ma,Other,Asian,Yes,Male
42,2013,Jackie Robinson,Athlete,Black,Yes,Male
1987,2014,Ricardo Trogi,Other,White,No,Male
12 Years a Slave,2013,Solomon Northup,Other,Black,Yes,Male
24 Hour Party People,2002,Tony Wilson,Musician,White,No,Male
A Dangerous Method,2011,Carl Gustav Jung,Academic,White,No,Male
A Dangerous Method,2011,Sigmund Freud,Academic,White,No,Male
A Dangerous Method,2011,Sabina Spielrein,Academic,White,No,Female
A Man Called Peter,1955,Peter Marshall,Other,White,No,Male
A Man for All Seasons,1966,Thomas More,Historical,White,No,Male
A Matadors Mistress,2008,Lupe Sino,Actress ,Hispanic,No,Female
A Matadors Mistress,2008,Manuel Rodriguez Sanchez,Athlete,Hispanic,No,Male
A Mighty Heart,2007,Mariane Pearl,Journalist,Mutliracial,Yes,Female
A Mighty Heart,2007,Daniel Pearl,Journalist,White,No,Male
A Song to Remember,1945,Frederic Chopin,Musician,White,No,Male
Abe Lincoln in Illinois,1940,Abraham Lincoln,Government,White,No,Male
Abraham Lincoln,1930,Abraham Lincoln,Government,White,No,Male
Al Capone,1959,Al Capone,Criminal,White,No,Male
Alexander,2004,Alexander the Great,Historical,White,No,Male
Alexander the Great,1956,Alexander the Great,Historical,White,No,Male
Ali,2001,Muhammad Ali,Athlete,Black,Yes,Male
Amadeus,1984,Antonio Salieri,Musician,White,No,Male
Amadeus,1984,Wolfgang Amadeus Mozart,Musician,White,No,Male
Amazing Grace,2006,William Wilberforce,Other,White,No,Male
Amelia,2009,Amelia Earhart,Other,White,No,Female
American Gangster,2007,Frank Lucas,Criminal,Black,Yes,Male
American Me,1992,Rodolfo Cadena,Criminal,Hispanic,Yes,Male
American Splendor,2003,Harvey Pekar,Comedian,White,No,Male
An American Crime,2007,Gertrude Baniszewski,Criminal,White,No,Female
An Angel at My Table,1990,Janet Frame,Author,White,No,Female
Anastasia,1956,Anna Anderson,Other,White,No,Female
Anna and the King of Siam,1946,Anna Leonowens,Other,Mutliracial,No,Female
Annie Get Your Gun,1950,Annie Oakley,Athlete,White,No,Female
Annie Oakley,1935,Annie Oakley,Athlete,White,No,Female
Antwone Fisher,2002,Antwone Fisher,Military,Black,Yes,Male
Auto Focus,2002,Robert Edward Crane,Actor,White,No,Male
Awakenings,1990,Oliver Sacks,Medicine,White,No,Male
Baadasssss,2003,Melvin Van Peebles,Actor,Black,Yes,Male
Baader,2002,Andreas Baader,Military,White,No,Male
Backbeat,1994,John Lennon,Musician,White,No,Male
Backbeat,1994,Stuart Sutcliffe,Musician,White,No,Male
Bandit Queen,1994,Phoolan Devi ,Criminal,Asian,Yes,Female
Barabbas,1961,Barabbas,Historical,White,No,Male
Basquiat,1996,Jean Michel Basquiat,Artist,Mutliracial,Yes,Male
Bathory  Countess of Blood,2008,Elizabeth Bathory,Criminal,White,No,Female
Beau Brummell,1954,George Brummell,Other,White,No,Male
Becket,1964,King Henry II,Historical,White,No,Male
Becket,1964,Thomas Becket,Historical,White,No,Male
Becoming Jane,2007,Jane Austen,Author,White,No,Female
Before Night Falls,2000,Reinaldo Arenas,Activist,Hispanic,Yes,Male
Behind the Lines,1997,Siegfried Loraine Sassoon,Military,Mutliracial,No,Male
Bernard and Doris,2006,Bernard Lafferty,Other,White,No,Male
Bernard and Doris,2006,Doris Duke,Other,White,No,Female
Best,2000,George Best,Athlete,White,No,Male
Beyond the Sea,2004,Bobby Darin ,Musician,White,No,Male
Big Eyes,2014,Margaret Keane,Artist,White,No,Female
Billy the Kid,1941,Billy the Kid,Criminal,White,No,Male
Bird,1988,Charlie Bird Parker,Musician,Mutliracial,Yes,Male
Blaze,1989,Earl Long,Government,White,No,Male
Blow,2001,George Jung,Criminal,White,No,Male
Blue Caprice,2013,John Allen Muhammad,Criminal,Black,Yes,Male
Bound for Glory,1976,Woody Guthrie,Singer,White,No,Male
Boys Town,1938,Father Edward Flanagan,Other,White,No,Male
Braveheart,1995,William Wallace,Military,White,No,Male
Breach,2007,Robert Hanssen,Criminal,White,No,Male
Brigham Young,1940,Brigham Young,Other,White,No,Male
Bright Star,2009,John Keats,Author,White,No,Male
Brother Sun Sister Moon,1972,St Francis of Assisi ,Historical,White,No,Male
Buffalo Bill,1944,William Cody,Other,White,No,Male
Bugsy,1991,Ben Bugsy Siegel,Criminal,White,No,Male
Butch Cassidy and the Sundance Kid,1969,Butch Cassidy ,Criminal,White,No,Male
Butch Cassidy and the Sundance Kid,1969,Harry Longabaugh,Criminal,White,No,Male
Cadillac Records,2008,Muddy Water,Musician,Black,Yes,Male
Cadillac Records,2008,Leonard Chess,Musician,White,No,Male
Cadillac Records,2008,Etta James,Singer,Black,Yes,Female
Caesar and Cleopatra,1945,Cleopatra,Historical,Middle Eastern,Yes,Female
Caesar and Cleopatra,1945,Julius Caesar,Historical,White,No,Male
Callas Forever,2002,Maria Callas,Singer,White,No,Female
Capone,1975,Al Capone,Criminal,White,No,Male
Captain Kidd,1945,William Kidd,Historical,White,No,Male
Caravaggio,1986,Michelangelo Merisi de Caravaggio,Artist,White,No,Male
Carrington,1995,Dora Carrington,Artist,White,No,Female
Carrington,1995,Lytton Strachey,Author,White,No,Male
Carve Her Name with Pride,1958,Violette Bushell Szabo,Military,White,No,Female
