film,fandango,rotten_tom,metacritic,imdb
Avengers Age of Ultron ,4.5,3.7,3.3,3.9
Cinderella ,4.5,4.25,3.35,3.55
Ant-Man ,4.5,4,3.2,3.9
Do You Believe? ,4.5,0.9,1.1,2.7
Hot Tub Time Machine 2 ,3,0.7,1.45,2.55
The Water Diviner ,4,3.15,2.5,3.6
Irrational Man ,3.5,2.1,2.65,3.45
Top Five ,3.5,4.3,4.05,3.25
Shaun the Sheep Movie ,4,4.95,4.05,3.7
Love & Mercy ,4,4.45,4,3.9
Far From The Madding Crowd ,4,4.2,3.55,3.6
Black Sea ,3.5,4.1,3.1,3.2
Leviathan ,3.5,4.95,4.6,3.85
Unbroken ,4.1,2.55,2.95,3.6
The Imitation Game ,4.6,4.5,3.65,4.05
Taken 3 ,4.1,0.45,1.3,3.05
Ted 2 ,4.1,2.3,2.4,3.3
Southpaw ,4.6,2.95,2.85,3.9
Night at the Museum Secret of the Tomb ,4.1,2.5,2.35,3.15
Pixels ,4.1,0.85,1.35,2.8
"McFarland, USA ",,3.95,3,3.75
Insidious: Chapter 3 ,4.1,2.95,2.6,3.15
The Man From UNCLE,4.1,3.4,2.75,3.8
Run All Night ,4.1,3,2.95,3.3
Trainwreck ,4.1,4.25,3.75,3.35
Selma ,4.6,4.95,4.45,3.75
Ex Machina ,4.1,4.6,3.9,3.85
Still Alice ,4.1,4.4,3.6,3.75
Wild Tales ,4.1,4.8,3.85,4.1
The End of the Tour ,4.1,4.6,4.2,3.95
Red Army ,4.1,4.8,4.1,3.85
When Marnie Was There ,4.1,4.45,3.55,3.9
The Hunting Ground ,4.1,4.6,3.85,3.75
The Boy Next Door ,3.6,0.5,1.5,2.3
Aloha ,3.1,0.95,2,2.75
The Loft ,3.6,0.55,1.2,3.15
5 Flights Up ,3.6,2.6,2.75,3.05
Welcome to Me ,3.6,3.55,3.35,2.95
Saint Laurent ,3.1,2.55,2.6,3.15
Maps to the Stars ,3.1,3,3.35,3.15
I'll See You In My Dreams ,3.6,4.7,3.75,3.45
Timbuktu ,3.6,4.95,4.55,3.6
About Elly ,3.6,4.85,4.35,4.1
The Diary of a Teenage Girl ,3.6,4.75,4.35,3.5
Kingsman The Secret Service ,4.2,3.75,2.9,3.9
Tomorrowland ,3.7,2.5,3,3.3
The Divergent Series Insurgent ,4.2,1.5,2.1,3.2
Annie ,4.2,1.35,1.65,2.6
Fantastic Four ,2.7,0.45,1.35,2
Terminator Genisys ,4.2,1.3,1.9,3.45
Pitch Perfect 2 ,4.2,3.35,3.15,3.35
Entourage ,4.2,1.6,1.9,3.55
The Age of Adaline ,4.2,2.7,2.55,3.65
Hot Pursuit ,3.7,0.4,1.55,2.45
The DUFF ,4.2,3.55,2.8,3.3
Black or White ,4.2,1.95,2.25,3.3
Project Almanac ,3.7,1.7,2.35,3.2
Ricki and the Flash ,3.7,3.2,2.7,3.1
Seventh Son ,3.2,0.6,1.5,2.75
Mortdecai ,3.2,0.6,1.35,2.75
Unfinished Business ,3.2,0.55,1.6,2.7
American Ultra ,3.7,2.3,2.5,3.25
True Story ,3.2,2.25,2.5,3.15
Child 44 ,3.7,1.3,2.05,3.2
Dark Places ,3.7,1.3,1.95,3.15
Birdman ,3.7,4.6,4.4,3.95
The Gift ,3.7,4.65,3.85,3.8
Unfriended ,2.7,3,2.95,2.95
Monkey Kingdom ,4.2,4.7,3.6,3.65
Mr. Turner ,3.2,4.9,4.7,3.45
Mr. Turner ,3.2,4.9,4.7,3.45
Seymour An Introduction ,4.2,5,4.15,3.85
The Wrecking Crew ,4.2,4.65,3.35,3.9
American Sniper ,4.8,3.6,3.6,3.7
Furious 7 ,4.8,4.05,3.35,3.7
The Hobbit The Battle of the Five Armies ,4.3,3.05,2.95,3.75
San Andreas ,4.3,2.5,2.15,3.25
Straight Outta Compton ,4.8,4.5,3.6,4.2
Vacation ,3.8,1.35,1.7,3.15
Chappie ,3.8,1.5,2.05,3.5
Poltergeist ,2.8,1.55,2.35,2.5
Paper Towns ,3.8,2.75,2.8,3.45
Big Eyes ,3.8,3.6,3.1,3.5
Blackhat ,2.8,1.7,2.55,2.7
Selfless ,3.8,1,1.7,3.3
Sinister 2 ,3.3,0.65,1.55,2.75
Little Boy ,4.3,1,1.5,3.7
Me and Earl and The Dying Girl ,4.3,4.05,3.7,4.1
Maggie ,3.3,2.7,2.6,2.8
Mad Max Fury Road ,4.3,4.85,4.45,4.15
Spy ,4.3,4.65,3.75,3.65
The SpongeBob Movie Sponge Out of Water ,3.3,3.9,3.1,3.05
Paddington ,4.3,4.9,3.85,3.6
Dope ,4.3,4.35,3.6,3.75
What We Do in the Shadows ,4.3,4.8,3.75,3.8
The Overnight ,3.3,4.1,3.25,3.45
The Salt of the Earth ,4.3,4.8,4.15,4.2
Song of the Sea ,4.3,4.95,4.3,4.1
Fifty Shades of Grey ,3.9,1.25,2.3,2.1
Get Hard ,3.9,1.45,1.7,3.05
Focus ,3.9,2.85,2.8,3.3
Jupiter Ascending ,3.4,1.3,2,2.75
The Gallows ,2.9,0.8,1.5,2.2
The Second Best Exotic Marigold Hotel ,3.9,3.1,2.55,3.3
Strange Magic ,3.4,0.85,1.25,2.85
The Gunman ,3.4,0.85,1.95,2.9
Hitman Agent 47 ,3.9,0.35,1.4,2.95
Cake ,3.4,2.45,2.45,3.25
The Vatican Tapes ,2.9,0.65,1.85,2.3
A Little Chaos ,3.9,2,2.55,3.2
The 100-Year-Old Man Who Climbed Out the Window and Disappeared ,3.9,3.35,2.9,3.55
Escobar Paradise Lost ,3.9,2.6,2.8,3.3
Into the Woods ,3.4,3.55,3.45,3
It Follows ,2.9,4.8,4.15,3.45
Inherent Vice ,2.9,3.65,4.05,3.35
A Most Violent Year ,3.4,4.5,3.95,3.55
While We're Young ,2.9,4.15,3.8,3.2
Clouds of Sils Maria ,3.4,4.45,3.9,3.4
Testament of Youth ,3.9,4.05,3.85,3.65
Infinitely Polar Bear ,3.9,4,3.2,3.6
Phoenix ,3.4,4.95,4.55,3.6
The Wolfpack ,3.4,4.2,3.75,3.55
The Stanford Prison Experiment ,3.9,4.2,3.4,3.55
Tangerine ,3.9,4.75,4.3,3.7
Magic Mike XXL ,4.4,3.1,3,3.15
Home ,4.4,2.25,2.75,3.35
The Wedding Ringer ,4.4,1.35,1.75,3.35
Woman in Gold ,4.4,2.6,2.55,3.7
The Last Five Years ,4.4,3,3,3
Mission: Impossible Rogue Nation ,4.4,4.6,3.75,3.9
Amy ,4.4,4.85,4.25,4
Jurassic World ,4.5,3.55,2.95,3.65
Minions ,4,2.7,2.8,3.35
Max ,4.5,1.75,2.35,3.5
Paul Blart Mall Cop 2 ,3.5,0.25,0.65,2.15
The Longest Ride ,4.5,1.55,1.65,3.6
The Lazarus Effect ,3,0.7,1.55,2.6
The Woman In Black 2 Angel of Death ,3,1.1,2.1,2.45
Danny Collins ,4,3.85,2.9,3.55
Spare Parts ,4.5,2.6,2.5,3.6
Serena ,3,0.9,1.8,2.7
Inside Out ,4.5,4.9,4.7,4.3
Mr. Holmes ,4,4.35,3.35,3.7
71,3.5,4.85,4.15,3.6
"Two Days, One Night ",3.5,4.85,4.45,3.7
Gett The Trial of Viviane Amsalem ,3.5,5,4.5,3.9
"Kumiko, The Treasure Hunter ",3.5,4.35,3.4,3.35
