quiz1,quiz2,quiz3,quiz4,quiz5,quiz6
100,80,90,100,0,90
90,100,100,100,90,70
50,90,80,50,60,80
50,60,80,60,80,90
80,90,0,80,60,0
50,60,80,30,70,70
100,100,100,100,100,80
50,40,40,10,0,90
100,100,100,90,90,70
80,100,80,50,100,90
90,100,100,90,90,80
60,50,80,70,70,60
80,100,100,100,90,80
80,100,70,100,90,70
100,100,100,100,100,100
50,60,40,60,50,0
90,90,70,70,100,90
40,70,70,0,60,70
100,100,100,100,100,100
90,80,100,70,100,80
80,100,90,70,80,90
80,90,100,90,90,100
70,100,100,90,100,90
40,70,70,20,60,40
90,100,100,100,100,100
90,90,80,90,80,80
60,100,100,80,90,70
